dataset_size,aes_decrypt_ms,plaintext_compute_ms,he_encrypt_ms,he_compute_ms,he_decrypt_ms,aes_total_ms,he_steady_ms,he_total_ms,plaintext_exposed_aes,plaintext_exposed_he
200,0.017133000073954463,0.0033665986848063767,3.0619292025221,30.1850164003553,0.9714850006275,0.02049959875876084,31.156501400982798,34.2184306035049,True,False
1000,0.008049601456150413,0.003785399894695729,2.7729461973649,64.73180700268131,0.7219569990411,0.011835001350846142,65.4537640017224,68.22671019908731,True,False
10000,0.0145703976158984,0.0036049998016096656,8.7644740007817,89.19237539957969,0.7031170011032,0.018175397417508066,89.89549240068288,98.65996640146459,True,False
100000,0.1416358005371,0.018011400243267417,73.3143411998753,502.5414042014745,0.6849771991254999,0.15964720078036743,503.2263814006,576.5407226004753,True,False
