run_id,timestamp,scheme,library,operation,dataset_size,granularity,n_repeats,encrypt_time_mean,encrypt_time_std,compute_time_mean,compute_time_std,decrypt_time_mean,decrypt_time_std,total_time_mean,peak_memory_mb,ciphertext_size_bytes,context_size_bytes,plaintext_result,decrypted_result,max_abs_error,mean_rel_error,correct,poly_modulus_degree,scale,notes
15,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,mean,200,elementwise,5,0.5394794884021394,0.02442727858284737,0.01627696920040762,0.0003633075275230318,0.0004124230006709695,1.888981569467417e-05,0.5561688806032181,0.00390625,66857415,35476814,49.38695543362957,49.38696205821991,6.624590334070035e-06,1.3413643898281456e-07,True,8192,1099511627776.0,"200 ciphertext(s), 4096 slots each"
16,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,add,1000,plaintext,5,0.0,0.0,1.622601121198386e-06,1.4171208094948942e-06,0.0,0.0,1.622601121198386e-06,0.00390625,8000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
17,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,mul,1000,plaintext,5,0.0,0.0,1.558999065309763e-06,1.2293498422008544e-06,0.0,0.0,1.558999065309763e-06,0.00390625,8000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
18,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,sum,1000,plaintext,5,0.0,0.0,3.785399894695729e-06,1.572921036155987e-06,0.0,0.0,3.785399894695729e-06,0.00390625,8000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
19,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,mean,1000,plaintext,5,0.0,0.0,6.506600766442716e-06,2.543226237994127e-06,0.0,0.0,6.506600766442716e-06,0.00390625,8000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
20,2026-06-19T11:29:58.115660+00:00,plaintext,numpy,count,1000,plaintext,5,0.0,0.0,3.043998731300235e-07,3.503455000194984e-07,0.0,0.0,3.043998731300235e-07,0.00390625,8000,,,,0.0,0.0,True,,,plaintext reference (compute cost only)
21,2026-06-19T11:29:58.115660+00:00,AES-256-GCM,cryptography,protect,1000,bulk,5,9.897198469843716e-06,3.35083276162201e-06,,,8.049601456150413e-06,1.4168707427960675e-06,1.794679992599413e-05,0.01171875,8028,,,,0.0,0.0,True,,,confidentiality only; cannot compute on ciphertext
22,2026-06-19T11:29:58.115660+00:00,RSA-2048-OAEP,cryptography,protect_perblock,1000,per_record,5,1.675279636401683e-05,2.7440877625339742e-06,,,0.00018432899960316718,1.1100879405964697e-05,0.00020108179596718402,0.00390625,256,,,,0.0,0.0,True,,,per-8-byte-block cost; RSA-2048 max payload ~190B so bulk data uses hybrid (RSA wraps an AES key); cannot compute on ciphertext
23,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,add,1000,packed,5,0.0028124382020905613,0.00017931559519951415,6.242160015972331e-05,4.0423928127270814e-05,0.0007369543993263506,0.00010332822196901147,0.0036118142015766352,0.00390625,334478,35476814,142.62553112568742,142.6255311263552,7.786987055169448e-09,1.777561655176089e-11,True,8192,1099511627776.0,"vector op: result[0] shown; errors computed over full vector; 1 ciphertext(s), 4096 slots each"
24,2026-06-19T11:29:58.115660+00:00,CKKS,TenSEAL,mul,1000,packed,5,0.0032310321999830193,0.0004418573391193519,0.0022589555999729784,9.046322983178368e-05,0.00048398399958387016,8.178738732339743e-05,0.005973971799539867,0.00390625,334417,35476814,5048.509598359651,5048.510275369048,0.001283417403101339,1.3411933913362829e-07,True,8192,1099511627776.0,"vector op: result[0] shown; errors computed over full vector; 1 ciphertext(s), 4096 slots each"
